year,size,allocated_overhead,gross_value_of_production,net_value,operating_costs,16_percent_protein_feed_value,milk_cow,milk_per_cow_quarterly,milk_production_quarterly,replacement_cow_price,average_number_of_milk_cows_in_the_united_states,average_price_paid_for_milk,dairy_cow_prices,dairy_feed_value,milk-feed_ratio,milk_per_cow_annual,milk_production_annual,milk_volume_required_to_buy_a_cow,milk_production_quarterly_cwt,avg_num_milk_cows_US,milk_vol_req_buy_a_cow,cost_per_HWS,cost_per_cow_annual,operating_cost_share,overhead_cost_share,value_per_cow,production_efficiency_index,gross_margin,net_margin,margin_per_cwt,margin_per_cow,milk_price_feed_price_gap,feed_cost_pressure,predicted_margin
2021,1000_to_1999_cows,6.470000142231584,20.219999194145203,4.879999816417694,14.530000450089574,10.745000123977661,9449250000000.0,0.00598525,56559.5,1362.5,9449.0,18.5,1362.5,10.63,1.74,23943.0,2.26238e+17,7365.0,565595000.0,9449000.0,73.65,21.000000592321157,0.5028030141819455,0.6919047638218926,0.30809523617810747,0.4429455,0.8809523561044419,5.689998744055629,-0.7800013981759548,-0.7800013981759548,-0.00018675573476526888,7.869999999999999,0.5745945945945946,-0.792100927516818
2021,100_to_199_cows,12.230000015348196,20.619999885559082,-2.4100003242492676,15.689999939873815,10.745000123977661,9449250000000.0,0.00598525,56559.5,1362.5,9449.0,18.5,1362.5,10.63,1.74,23943.0,2.26238e+17,7365.0,565595000.0,9449000.0,73.65,27.91999995522201,0.6684885589278806,0.5619627494640894,0.4380372505359106,0.4429455,0.6626074509194207,4.9299999456852674,-7.300000069662929,-7.300000069662929,-0.001747839016679395,7.869999999999999,0.5745945945945946,-6.686920034687966
2021,2000_cows_or_more,4.9900000765919685,19.260000467300415,5.219999901950359,14.150000475347042,10.745000123977661,9449250000000.0,0.00598525,56559.5,1362.5,9449.0,18.5,1362.5,10.63,1.74,23943.0,2.26238e+17,7365.0,565595000.0,9449000.0,73.65,19.14000055193901,0.4582690332150757,0.7392894497024218,0.2607105502975781,0.4429455,0.9665621455860316,5.109999991953373,0.11999991536140442,0.11999991536140442,2.873157973498106e-05,7.869999999999999,0.5745945945945946,0.18031975958868862
2021,200_to_499_cows,10.530000258237123,19.760000467300415,-1.8199996948242188,15.389999974519014,10.745000123977661,9449250000000.0,0.00598525,56559.5,1362.5,9449.0,18.5,1362.5,10.63,1.74,23943.0,2.26238e+17,7365.0,565595000.0,9449000.0,73.65,25.920000232756138,0.6206025655728802,0.5937499936851874,0.40625000631481256,0.4429455,0.7137345614920486,4.370000492781401,-6.159999765455723,-6.159999765455723,-0.0014748887438430637,7.869999999999999,0.5745945945945946,-5.923559869945049
2021,500_to_999_cows,7.260000038892031,20.789999842643738,3.4500001668930054,15.40999992005527,10.745000123977661,9449250000000.0,0.00598525,56559.5,1362.5,9449.0,18.5,1362.5,10.63,1.74,23943.0,2.26238e+17,7365.0,565595000.0,9449000.0,73.65,22.6699999589473,0.5427878090170752,0.6797529752078061,0.3202470247921939,0.4429455,0.8160564637627402,5.379999922588468,-1.8800001163035631,-1.8800001163035631,-0.0004501284278465621,7.869999999999999,0.5745945945945946,-1.7917001965716481
2021,50_to_99_cows,16.839999794960022,21.98000007867813,-8.37000036239624,17.749999400228262,10.745000123977661,9449250000000.0,0.00598525,56559.5,1362.5,9449.0,18.5,1362.5,10.63,1.74,23943.0,2.26238e+17,7365.0,565595000.0,9449000.0,73.65,34.589999195188284,0.8281883507303931,0.5131540853778745,0.4868459146221254,0.4429455,0.5348366704377803,4.230000678449869,-12.609999116510153,-12.609999116510153,-0.003019212088466026,7.869999999999999,0.5745945945945946,-12.419459340408444
2021,all_sizes,8.000000093132257,20.050000488758087,2.18999981880188,14.93999982625246,10.745000123977661,9449250000000.0,0.00598525,56559.5,1362.5,9449.0,18.5,1362.5,10.63,1.74,23943.0,2.26238e+17,7365.0,565595000.0,9449000.0,73.65,22.939999919384718,0.5492524180698283,0.6512641621078599,0.3487358378921402,0.4429455,0.8064516157372417,5.110000662505627,-2.889999430626631,-2.889999430626631,-0.0006919525636749342,7.869999999999999,0.5745945945945946,-2.368899756770581
2021,fewer_than_50_cows,25.619999781250954,22.75999915599823,-14.280000686645508,17.100000197067857,10.745000123977661,9449250000000.0,0.00598525,56559.5,1362.5,9449.0,18.5,1362.5,10.63,1.74,23943.0,2.26238e+17,7365.0,565595000.0,9449000.0,73.65,42.71999997831881,1.0228449594808873,0.4002809036925661,0.5997190963074339,0.4429455,0.43305243467671095,5.659998958930373,-19.96000082232058,-19.96000082232058,-0.004779022996888217,7.869999999999999,0.5745945945945946,-19.65858022844419
2022,1000_to_1999_cows,7.1100000981241465,27.550000369548798,11.93999981880188,18.039999777451158,13.432499885559082,9399750000000.0,0.00602175,56604.0,1597.5,9400.0,25.3,1597.5,13.39,1.89,24087.0,2.26416e+17,6314.0,566040000.0,9400000.0,63.14,25.149999875575304,0.6057880470029824,0.7172962173638379,0.2827037826361622,0.6094011,1.0059642196885403,9.51000059209764,2.4000004939734936,2.4000004939734936,0.0005780881189833954,11.91,0.5292490118577076,0.687879582900554
2022,100_to_199_cows,13.330000188201666,27.929999113082886,3.5299997329711914,19.480000043287873,13.432499885559082,9399750000000.0,0.00602175,56604.0,1597.5,9400.0,25.3,1597.5,13.39,1.89,24087.0,2.26416e+17,6314.0,566040000.0,9400000.0,63.14,32.81000023148954,0.7902944755758885,0.5937214235247661,0.4062785764752339,0.6094011,0.7711063645686359,8.449999069795012,-4.880001118406653,-4.880001118406653,-0.0011754458693906107,11.91,0.5292490118577076,-4.873759880851955
